Hospital_Id,Hospital_name,State,Insurance
1044,Northwestern Memorial Hospital,Vermont,yes
1045,UCSF Medical Center,Colorado,yes
1046,Mayo Clinic,New York,yes
1047,UCLA Medical Center,Connecticut,no
1048,The Mount Sinai Hospital,New Jersey,yes
1049,Massachusetts General Hospital,Michigan,no
1050,Hospitals of the University of Pennsylvania,Mississippi,no
1051,Mayo Clinic - Phoenix,Colorado,no
1052,Mayo Clinic,West Virginia,yes
1053,Cleveland Clinic Fairview Hospital,Massachusetts,yes
1054,UCLA Medical Center,Minnesota,yes
1055,Cleveland Clinic Fairview Hospital,West Virginia,no
1056,Duke University Hospital,Louisiana,yes
1057,Massachusetts General Hospital,Texas,yes
1058,Massachusetts General Hospital,Oregon,no
1059,Stanford Health Care-Stanford Hospital,Alaska,no
1060,Duke University Hospital,Georgia,no
1061,Ronald Reagan UCLA Medical Center,MontanaNebraska,yes
1062,Mayo Clinic - Phoenix,Alabama,yes
1063,Massachusetts General Hospital,New Mexico,yes
1064,The Johns Hopkins Hospital,Connecticut,no
1065,Duke University Hospital,West Virginia,no
1066,University of Wisconsin Hospital,Iowa,no
1067,Cleveland Clinic,Kansas,yes
1068,University of Wisconsin Hospital,Arizona,yes
1069,The Mount Sinai Hospital,Kentucky,no
1070,Cleveland Clinic Fairview Hospital,Minnesota,no
1071,UCSF Medical Center,Hawaii,yes
1072,Mayo Clinic - Phoenix,Minnesota,no
1073,UCSF Medical Center,IllinoisIndiana,yes
1074,Stanford Health Care-Stanford Hospital,Connecticut,yes
1075,Hospitals of the University of Pennsylvania,North Carolina,yes
1076,Massachusetts General Hospital,Virginia,yes
1077,Duke University Hospital,Kansas,yes
1078,New York-Presbyterian Hospital,Missouri,no
1079,Stanford Health Care-Stanford Hospital,South Carolina,yes
1080,University of Wisconsin Hospital,South Carolina,no
1081,Hospitals of the University of Pennsylvania,Georgia,yes
1082,Ronald Reagan UCLA Medical Center,Georgia,yes
1083,New York-Presbyterian Hospital,South Dakota,no
1084,Stanford Health Care-Stanford Hospital,Tennessee,no
1085,Cleveland Clinic Fairview Hospital,Ohio,yes
1086,Cleveland Clinic,Missouri,no
1087,University of Michigan Hospitals,North Dakota,no
1088,Massachusetts General Hospital,North Dakota,yes
1089,Cleveland Clinic Fairview Hospital,Arizona,no
1090,The Mount Sinai Hospital,South Dakota,no
1091,Northwestern Memorial Hospital,Florida,yes
1092,Hospitals of the University of Pennsylvania,PennsylvaniaRhode Island,no
1093,University of Wisconsin Hospital,Maryland,yes
1094,Brigham And Women's Hospital,Hawaii,no
1095,Massachusetts General Hospital,Washington,no
1096,UCLA Medical Center,Texas,no
1097,Mayo Clinic - Phoenix,New Jersey,no
1098,University of Wisconsin Hospital,Utah,no
1099,Hospitals of the University of Pennsylvania,Hawaii,yes
1100,Ronald Reagan UCLA Medical Center,Delaware,no
1101,The Johns Hopkins Hospital,MontanaNebraska,no
1102,New York-Presbyterian Hospital,Delaware,yes
1103,Cleveland Clinic Fairview Hospital,Arkansas,no
1104,The Johns Hopkins Hospital,South Dakota,no
1105,University of Wisconsin Hospital,California,yes
1106,Cleveland Clinic,New York,no
1107,NYU Langone Hospital,IllinoisIndiana,yes
1108,University of Wisconsin Hospital,Maryland,no
1109,Mayo Clinic,New York,yes
1110,UCLA Medical Center,Massachusetts,no
1111,The Mount Sinai Hospital,Wyoming,yes
1112,The Johns Hopkins Hospital,Nevada,no
1113,Brigham And Women's Hospital,Florida,no
1114,NYU Langone Hospital,Tennessee,no
1115,Hospitals of the University of Pennsylvania,North Carolina,no
1116,The Mount Sinai Hospital,North Carolina,yes
1117,UCSF Medical Center,South Carolina,yes
1118,The Johns Hopkins Hospital,Tennessee,yes
1119,Northwestern Memorial Hospital,Wyoming,yes
1120,UCLA Medical Center,Arkansas,yes
1121,Ronald Reagan UCLA Medical Center,Louisiana,no
1122,UCLA Medical Center,Idaho,yes
1123,UCLA Medical Center,Missouri,no
1124,Hospitals of the University of Pennsylvania,MontanaNebraska,no
1125,UCSF Medical Center,Iowa,no
1126,The Mount Sinai Hospital,Utah,yes
1127,The Mount Sinai Hospital,California,yes
1128,Cleveland Clinic Fairview Hospital,New Hampshire,yes
1129,University of Wisconsin Hospital,West Virginia,no
1130,The Johns Hopkins Hospital,Louisiana,yes
1131,NYU Langone Hospital,Wyoming,no
1132,Duke University Hospital,Oregon,no
1133,Stanford Health Care-Stanford Hospital,Massachusetts,yes
1134,Duke University Hospital,Alabama,yes
1135,Stanford Health Care-Stanford Hospital,New York,yes
1136,UCLA Medical Center,Connecticut,no
1137,Mayo Clinic,South Carolina,no
1138,Mayo Clinic,Oregon,no
1139,Ronald Reagan UCLA Medical Center,Virginia,no
1140,Mayo Clinic,Arizona,yes
1141,Ronald Reagan UCLA Medical Center,New York,no
1142,Hospitals of the University of Pennsylvania,Mississippi,no
1143,Stanford Health Care-Stanford Hospital,Kentucky,yes
1144,Northwestern Memorial Hospital,Maine,yes
1145,UCLA Medical Center,Minnesota,yes
1146,Brigham And Women's Hospital,Ohio,no
1147,The Johns Hopkins Hospital,Vermont,no
1148,Mayo Clinic - Phoenix,Oregon,yes
1149,UCLA Medical Center,Utah,no
1150,Hospitals of the University of Pennsylvania,Oklahoma,no
1151,UCSF Medical Center,Maryland,no
1152,Hospitals of the University of Pennsylvania,Massachusetts,no
1153,Hospitals of the University of Pennsylvania,Iowa,no
1154,New York-Presbyterian Hospital,Alabama,no
1155,NYU Langone Hospital,Virginia,yes
1156,Brigham And Women's Hospital,Wisconsin,yes
1157,Hospitals of the University of Pennsylvania,Kentucky,yes
1158,UCLA Medical Center,South Dakota,no
1159,Mayo Clinic - Phoenix,South Carolina,yes
1160,Cedars-Sinai Medical Center,Maryland,no
1161,Cleveland Clinic,Utah,no
1162,Mayo Clinic,Delaware,yes
1163,Cedars-Sinai Medical Center,Massachusetts,yes
1164,Mayo Clinic - Phoenix,Colorado,yes
1165,Cedars-Sinai Medical Center,Texas,no
1166,Massachusetts General Hospital,Missouri,yes
1167,Massachusetts General Hospital,Maine,yes
1168,Cleveland Clinic Fairview Hospital,Mississippi,yes
1169,Northwestern Memorial Hospital,Delaware,yes
1170,The Mount Sinai Hospital,Tennessee,yes
1171,Mayo Clinic - Phoenix,New Hampshire,yes
1172,The Johns Hopkins Hospital,Delaware,yes
1173,Ronald Reagan UCLA Medical Center,Wyoming,no
1174,Mayo Clinic,Vermont,yes
1175,The Mount Sinai Hospital,Missouri,yes
1176,Brigham And Women's Hospital,Nevada,no
1177,Hospitals of the University of Pennsylvania,Iowa,no
1178,Northwestern Memorial Hospital,Oklahoma,yes
1179,Mayo Clinic - Phoenix,Tennessee,yes
1180,Cleveland Clinic,Oregon,no
1181,NYU Langone Hospital,Arkansas,yes
1182,UCLA Medical Center,Oregon,no
1183,Brigham And Women's Hospital,Connecticut,yes
1184,Massachusetts General Hospital,Ohio,no
1185,Mayo Clinic - Phoenix,New Hampshire,no
1186,Hospitals of the University of Pennsylvania,North Dakota,no
1187,Cleveland Clinic,South Carolina,no
1188,Ronald Reagan UCLA Medical Center,Alaska,no
1189,Ronald Reagan UCLA Medical Center,Michigan,no
1190,UCLA Medical Center,Tennessee,yes
1191,Brigham And Women's Hospital,Hawaii,yes
1192,Stanford Health Care-Stanford Hospital,California,yes
1193,Cleveland Clinic,Minnesota,no
1194,Ronald Reagan UCLA Medical Center,Alaska,no
1195,UCLA Medical Center,Alabama,yes
1196,Ronald Reagan UCLA Medical Center,Massachusetts,yes
1197,Ronald Reagan UCLA Medical Center,California,yes
1198,NYU Langone Hospital,Florida,no
1199,Stanford Health Care-Stanford Hospital,North Carolina,yes
1200,Ronald Reagan UCLA Medical Center,Hawaii,yes
1201,The Johns Hopkins Hospital,Alaska,no
1202,New York-Presbyterian Hospital,Oklahoma,no
1203,Hospitals of the University of Pennsylvania,Wyoming,no
1204,UCSF Medical Center,North Carolina,no
1205,University of Wisconsin Hospital,Delaware,yes
1206,Brigham And Women's Hospital,Louisiana,yes
1207,Cleveland Clinic,Nevada,yes
1208,Hospitals of the University of Pennsylvania,South Dakota,no
1209,Mayo Clinic - Phoenix,South Carolina,no
1210,Cedars-Sinai Medical Center,Delaware,no
1211,Ronald Reagan UCLA Medical Center,New Hampshire,yes
1212,Ronald Reagan UCLA Medical Center,Utah,no
1213,The Mount Sinai Hospital,Wisconsin,yes
1214,Stanford Health Care-Stanford Hospital,California,no
1215,Hospitals of the University of Pennsylvania,Hawaii,yes
1216,Cleveland Clinic Fairview Hospital,South Carolina,yes
1217,Cedars-Sinai Medical Center,North Dakota,no
1218,Duke University Hospital,Arizona,no
1219,Mayo Clinic,Texas,no
1220,Duke University Hospital,New Mexico,no
1221,University of Michigan Hospitals,Georgia,yes
1222,Massachusetts General Hospital,Vermont,no
1223,The Johns Hopkins Hospital,Utah,no
1224,Duke University Hospital,Vermont,yes
1225,University of Wisconsin Hospital,Arizona,no
1226,Ronald Reagan UCLA Medical Center,Michigan,no
1227,UCLA Medical Center,Maryland,no
1228,Northwestern Memorial Hospital,New Mexico,yes
1229,Northwestern Memorial Hospital,Michigan,yes
1230,University of Wisconsin Hospital,New York,yes
1231,The Johns Hopkins Hospital,North Carolina,yes
1232,Massachusetts General Hospital,New Jersey,yes
1233,University of Michigan Hospitals,Delaware,yes
1234,UCLA Medical Center,Oregon,yes
1235,The Johns Hopkins Hospital,Utah,yes
1236,Cedars-Sinai Medical Center,Tennessee,yes
1237,Duke University Hospital,Florida,yes
1238,Cleveland Clinic,Wisconsin,no
1239,UCSF Medical Center,Ohio,no
1240,UCSF Medical Center,Kansas,yes
1241,Northwestern Memorial Hospital,Idaho,yes
1242,Brigham And Women's Hospital,Alaska,yes
1243,Hospitals of the University of Pennsylvania,California,no
1244,New York-Presbyterian Hospital,Tennessee,yes
1245,Mayo Clinic - Phoenix,Louisiana,no
1246,Cedars-Sinai Medical Center,Maine,yes
1247,Duke University Hospital,Massachusetts,yes
1248,Mayo Clinic,South Dakota,yes
1249,Mayo Clinic,Hawaii,yes
1250,The Johns Hopkins Hospital,Utah,no
1251,Brigham And Women's Hospital,New Jersey,yes
1252,New York-Presbyterian Hospital,MontanaNebraska,yes
1253,Mayo Clinic,Minnesota,yes
1254,Mayo Clinic - Phoenix,IllinoisIndiana,no
1255,Ronald Reagan UCLA Medical Center,Maine,no
1256,UCSF Medical Center,Florida,yes
1257,Northwestern Memorial Hospital,Nevada,yes
1258,Ronald Reagan UCLA Medical Center,Alaska,no
1259,University of Wisconsin Hospital,Colorado,no
1260,The Mount Sinai Hospital,California,yes
1261,University of Michigan Hospitals,South Carolina,yes
1262,Cleveland Clinic,Kentucky,no
1263,Ronald Reagan UCLA Medical Center,Utah,no
1264,Hospitals of the University of Pennsylvania,Alaska,yes
1265,Mayo Clinic - Phoenix,New Hampshire,no
1266,UCSF Medical Center,Alaska,yes
1267,Mayo Clinic - Phoenix,IllinoisIndiana,no
1268,NYU Langone Hospital,Oklahoma,no
1269,Cleveland Clinic Fairview Hospital,New York,yes
1270,Stanford Health Care-Stanford Hospital,Utah,no
1271,University of Wisconsin Hospital,Georgia,no
1272,Cleveland Clinic Fairview Hospital,South Carolina,no
1273,Stanford Health Care-Stanford Hospital,Michigan,yes
1274,Stanford Health Care-Stanford Hospital,Oregon,no
1275,Brigham And Women's Hospital,Iowa,no
1276,Ronald Reagan UCLA Medical Center,New Hampshire,no
1277,Northwestern Memorial Hospital,Delaware,no
1278,University of Michigan Hospitals,MontanaNebraska,no
1279,Mayo Clinic,Wyoming,no
1280,Hospitals of the University of Pennsylvania,Kansas,no
1281,Ronald Reagan UCLA Medical Center,Alabama,yes
1282,Massachusetts General Hospital,California,yes
1283,Mayo Clinic,Alaska,no
1284,Hospitals of the University of Pennsylvania,Delaware,no
1285,Ronald Reagan UCLA Medical Center,New York,no
1286,Stanford Health Care-Stanford Hospital,North Carolina,yes
1287,Stanford Health Care-Stanford Hospital,Delaware,yes
1288,Mayo Clinic,New York,no
1289,Cedars-Sinai Medical Center,New Jersey,no
1290,The Mount Sinai Hospital,Kansas,no
1291,UCSF Medical Center,New Mexico,no
1292,The Mount Sinai Hospital,IllinoisIndiana,yes
1293,Mayo Clinic - Phoenix,Washington,yes
1294,Mayo Clinic - Phoenix,Hawaii,yes
1295,Mayo Clinic,New Hampshire,yes
1296,Northwestern Memorial Hospital,New Hampshire,no
1297,Duke University Hospital,Florida,yes
1298,Northwestern Memorial Hospital,Georgia,yes
1299,Duke University Hospital,North Dakota,yes
1300,Massachusetts General Hospital,Hawaii,no
1301,Brigham And Women's Hospital,Maine,no
1302,Mayo Clinic - Phoenix,Massachusetts,yes
1303,Hospitals of the University of Pennsylvania,South Carolina,yes
1304,Northwestern Memorial Hospital,Maine,yes
1305,Cedars-Sinai Medical Center,Alabama,no
1306,UCSF Medical Center,Colorado,yes
1307,Mayo Clinic - Phoenix,Missouri,no
1308,Northwestern Memorial Hospital,Maryland,yes
1309,The Mount Sinai Hospital,New Hampshire,yes
1310,Northwestern Memorial Hospital,Idaho,yes
1311,Cleveland Clinic,California,yes
1312,The Mount Sinai Hospital,Kansas,no
1313,Hospitals of the University of Pennsylvania,West Virginia,yes
1314,Cleveland Clinic Fairview Hospital,West Virginia,yes
1315,New York-Presbyterian Hospital,Kansas,yes
1316,The Johns Hopkins Hospital,Oklahoma,no
1317,Stanford Health Care-Stanford Hospital,California,yes
1318,Massachusetts General Hospital,Louisiana,yes
1319,University of Michigan Hospitals,Missouri,no
1320,Duke University Hospital,Maine,yes
1321,UCLA Medical Center,Delaware,yes
1322,University of Wisconsin Hospital,Kentucky,yes
1323,The Johns Hopkins Hospital,Missouri,no
1324,The Mount Sinai Hospital,Idaho,no
1325,The Johns Hopkins Hospital,Tennessee,yes
1326,Northwestern Memorial Hospital,Georgia,no
1327,The Mount Sinai Hospital,North Carolina,yes
1328,NYU Langone Hospital,Connecticut,no
1329,Hospitals of the University of Pennsylvania,New York,no
1330,Northwestern Memorial Hospital,MontanaNebraska,yes
1331,Brigham And Women's Hospital,Texas,yes
1332,Mayo Clinic,New Mexico,no
1333,Stanford Health Care-Stanford Hospital,Hawaii,yes
1334,Hospitals of the University of Pennsylvania,Maine,no
1335,University of Michigan Hospitals,Florida,no
1336,Ronald Reagan UCLA Medical Center,Minnesota,no
1337,Cedars-Sinai Medical Center,West Virginia,yes
1338,UCLA Medical Center,New Mexico,no
1339,Northwestern Memorial Hospital,Colorado,no
1340,Brigham And Women's Hospital,Nevada,no
1341,Hospitals of the University of Pennsylvania,South Dakota,yes
1342,University of Wisconsin Hospital,IllinoisIndiana,no
1343,Stanford Health Care-Stanford Hospital,Florida,no
1344,The Johns Hopkins Hospital,Connecticut,no
1345,NYU Langone Hospital,Vermont,no
1346,The Johns Hopkins Hospital,Minnesota,yes
1347,UCSF Medical Center,Connecticut,yes
1348,University of Wisconsin Hospital,New Hampshire,yes
1349,Stanford Health Care-Stanford Hospital,Massachusetts,yes
1350,The Mount Sinai Hospital,Mississippi,no
1351,Mayo Clinic,Alabama,no
1352,NYU Langone Hospital,Texas,yes
1353,Duke University Hospital,Vermont,yes
1354,Brigham And Women's Hospital,IllinoisIndiana,yes
1355,Hospitals of the University of Pennsylvania,Kentucky,no
1356,The Johns Hopkins Hospital,Wyoming,no
1357,Northwestern Memorial Hospital,Minnesota,yes
1358,Cleveland Clinic Fairview Hospital,IllinoisIndiana,yes
1359,Cedars-Sinai Medical Center,Ohio,yes
1360,Massachusetts General Hospital,Oklahoma,yes
1361,New York-Presbyterian Hospital,Massachusetts,yes
1362,Cedars-Sinai Medical Center,Ohio,no
1363,Mayo Clinic - Phoenix,Florida,no
1364,Stanford Health Care-Stanford Hospital,Tennessee,yes
1365,Brigham And Women's Hospital,Hawaii,yes
1366,NYU Langone Hospital,Arizona,yes
1367,UCSF Medical Center,New Mexico,yes
1368,UCSF Medical Center,Florida,yes
1369,NYU Langone Hospital,Maryland,no
1370,Northwestern Memorial Hospital,Georgia,no
1371,University of Michigan Hospitals,Hawaii,no
1372,Duke University Hospital,Missouri,yes
1373,Northwestern Memorial Hospital,IllinoisIndiana,no
1374,Cleveland Clinic,Utah,yes
1375,Northwestern Memorial Hospital,Georgia,yes
1376,Northwestern Memorial Hospital,Nevada,no
1377,Cleveland Clinic,PennsylvaniaRhode Island,yes
1378,New York-Presbyterian Hospital,MontanaNebraska,yes
1379,Mayo Clinic - Phoenix,California,no
1380,Stanford Health Care-Stanford Hospital,Oregon,no
1381,UCSF Medical Center,South Dakota,no
1382,University of Wisconsin Hospital,Kentucky,no
1383,UCSF Medical Center,Mississippi,yes
1384,Stanford Health Care-Stanford Hospital,New Hampshire,yes
1385,Mayo Clinic - Phoenix,Ohio,yes
1386,Duke University Hospital,South Carolina,no
1387,University of Michigan Hospitals,Arizona,yes
1388,The Johns Hopkins Hospital,Arkansas,yes
1389,Mayo Clinic,Vermont,yes
1390,NYU Langone Hospital,South Carolina,no
1391,NYU Langone Hospital,New Hampshire,yes
1392,UCLA Medical Center,Hawaii,no
1393,University of Michigan Hospitals,Alabama,no
1394,Brigham And Women's Hospital,New Hampshire,no
1395,Hospitals of the University of Pennsylvania,South Carolina,no
1396,The Johns Hopkins Hospital,Mississippi,yes
1397,NYU Langone Hospital,Hawaii,no
1398,UCSF Medical Center,IllinoisIndiana,yes
1399,The Johns Hopkins Hospital,Arizona,no
1400,NYU Langone Hospital,Maine,yes
1401,Hospitals of the University of Pennsylvania,Colorado,yes
1402,Mayo Clinic,Arkansas,no
1403,The Mount Sinai Hospital,South Dakota,no
1404,Ronald Reagan UCLA Medical Center,Missouri,no
1405,University of Michigan Hospitals,Texas,no
1406,Massachusetts General Hospital,Utah,yes
1407,Mayo Clinic,North Dakota,yes
1408,UCSF Medical Center,Oklahoma,yes
1409,University of Wisconsin Hospital,Wyoming,no
1410,University of Michigan Hospitals,Utah,no
1411,Cedars-Sinai Medical Center,New Jersey,no
1412,Ronald Reagan UCLA Medical Center,New Hampshire,no
1413,UCLA Medical Center,Washington,yes
1414,New York-Presbyterian Hospital,Maryland,yes
1415,Massachusetts General Hospital,Wyoming,no
1416,Stanford Health Care-Stanford Hospital,North Carolina,no
1417,UCSF Medical Center,New Mexico,yes
1418,Cleveland Clinic,Alabama,no
1419,University of Michigan Hospitals,Michigan,yes
1420,Hospitals of the University of Pennsylvania,PennsylvaniaRhode Island,no
1421,Massachusetts General Hospital,Wyoming,yes
1422,Duke University Hospital,Oklahoma,no
1423,Massachusetts General Hospital,Massachusetts,no
1424,Cedars-Sinai Medical Center,IllinoisIndiana,yes
1425,UCSF Medical Center,Maryland,no
1426,University of Michigan Hospitals,Kansas,yes
1427,Northwestern Memorial Hospital,PennsylvaniaRhode Island,yes
1428,NYU Langone Hospital,South Dakota,no
1429,UCSF Medical Center,Kansas,yes
1430,Mayo Clinic - Phoenix,IllinoisIndiana,no
1431,Cedars-Sinai Medical Center,Ohio,no
1432,Cedars-Sinai Medical Center,IllinoisIndiana,yes
1433,The Johns Hopkins Hospital,Idaho,yes
1434,University of Michigan Hospitals,Idaho,no
1435,Mayo Clinic,Utah,no
1436,Massachusetts General Hospital,Florida,yes
1437,Mayo Clinic - Phoenix,Minnesota,yes
1438,Cedars-Sinai Medical Center,South Carolina,yes
1439,Northwestern Memorial Hospital,Iowa,yes
1440,UCLA Medical Center,Utah,yes
1441,Massachusetts General Hospital,New Mexico,no
1442,Stanford Health Care-Stanford Hospital,Maine,no
1443,UCSF Medical Center,Georgia,no
1444,UCLA Medical Center,Idaho,yes
1445,The Johns Hopkins Hospital,Massachusetts,no
1446,University of Wisconsin Hospital,North Dakota,no
1447,UCLA Medical Center,Florida,no
1448,University of Michigan Hospitals,New York,yes
1449,UCLA Medical Center,Massachusetts,no
1450,Hospitals of the University of Pennsylvania,Alaska,yes
1451,Northwestern Memorial Hospital,Virginia,no
1452,Northwestern Memorial Hospital,IllinoisIndiana,no
1453,Mayo Clinic,Minnesota,no
1454,Duke University Hospital,Idaho,yes
1455,Brigham And Women's Hospital,West Virginia,no
1456,UCLA Medical Center,Missouri,yes
1457,Mayo Clinic - Phoenix,Mississippi,no
1458,The Johns Hopkins Hospital,Arkansas,yes
1459,Ronald Reagan UCLA Medical Center,Mississippi,no
1460,University of Wisconsin Hospital,Maryland,no
1461,UCSF Medical Center,Massachusetts,yes
1462,The Mount Sinai Hospital,Alabama,no
1463,Cleveland Clinic,Hawaii,yes
1464,Mayo Clinic - Phoenix,Arkansas,yes
1465,Cleveland Clinic Fairview Hospital,Ohio,yes
1466,The Mount Sinai Hospital,Tennessee,yes
1467,Duke University Hospital,Nevada,no
1468,Cleveland Clinic Fairview Hospital,West Virginia,no
1469,University of Michigan Hospitals,Florida,yes
1470,New York-Presbyterian Hospital,Oklahoma,no
1471,UCLA Medical Center,Idaho,yes
1472,Ronald Reagan UCLA Medical Center,Tennessee,no
1473,Stanford Health Care-Stanford Hospital,Washington,yes
1474,New York-Presbyterian Hospital,West Virginia,yes
1475,Brigham And Women's Hospital,Kentucky,yes
1476,Ronald Reagan UCLA Medical Center,North Dakota,yes
1477,Cleveland Clinic Fairview Hospital,Iowa,no
1478,The Mount Sinai Hospital,South Dakota,yes
1479,Ronald Reagan UCLA Medical Center,New Mexico,no
1480,Cleveland Clinic Fairview Hospital,Kansas,no
1481,Ronald Reagan UCLA Medical Center,Maryland,no
1482,Cleveland Clinic Fairview Hospital,PennsylvaniaRhode Island,yes
1483,Mayo Clinic,New Hampshire,no
1484,The Mount Sinai Hospital,Arkansas,no
1485,The Johns Hopkins Hospital,South Carolina,no
1486,UCLA Medical Center,Wisconsin,yes
1487,UCLA Medical Center,PennsylvaniaRhode Island,no
1488,UCSF Medical Center,New Jersey,yes
1489,New York-Presbyterian Hospital,Ohio,yes
1490,Cleveland Clinic,Florida,no
1491,Massachusetts General Hospital,Kansas,yes
1492,University of Michigan Hospitals,Oregon,yes
1493,Northwestern Memorial Hospital,Massachusetts,yes
1494,Brigham And Women's Hospital,Vermont,yes
1495,NYU Langone Hospital,Vermont,yes
1496,Mayo Clinic,New Hampshire,yes
1497,New York-Presbyterian Hospital,Florida,yes
1498,Cleveland Clinic,Georgia,no
1499,Northwestern Memorial Hospital,South Carolina,yes
1500,Hospitals of the University of Pennsylvania,California,no
1501,Massachusetts General Hospital,West Virginia,no
1502,The Johns Hopkins Hospital,Idaho,yes
1503,Duke University Hospital,Wyoming,yes
1504,Northwestern Memorial Hospital,Texas,yes
1505,Cedars-Sinai Medical Center,New Jersey,yes
1506,UCSF Medical Center,Maine,no
1507,Brigham And Women's Hospital,Ohio,no
1508,University of Michigan Hospitals,New Mexico,no
1509,Mayo Clinic,Texas,no
1510,Hospitals of the University of Pennsylvania,Georgia,yes
1511,Brigham And Women's Hospital,Louisiana,yes
1512,Cleveland Clinic,New Mexico,yes
1513,Cedars-Sinai Medical Center,Hawaii,no
1514,University of Wisconsin Hospital,Oregon,no
1515,The Mount Sinai Hospital,South Carolina,yes
1516,UCLA Medical Center,PennsylvaniaRhode Island,no
1517,The Johns Hopkins Hospital,North Dakota,yes
1518,Stanford Health Care-Stanford Hospital,South Dakota,no
1519,Hospitals of the University of Pennsylvania,Florida,no
1520,Mayo Clinic,Alabama,no
1521,UCLA Medical Center,MontanaNebraska,yes
1522,The Johns Hopkins Hospital,Massachusetts,no
1523,Massachusetts General Hospital,Oklahoma,yes
1524,The Johns Hopkins Hospital,New Hampshire,yes
1525,Ronald Reagan UCLA Medical Center,Wisconsin,no
1526,UCLA Medical Center,Idaho,yes
1527,Cleveland Clinic,Colorado,yes
1528,The Mount Sinai Hospital,Hawaii,no
1529,UCSF Medical Center,New Jersey,yes
1530,University of Wisconsin Hospital,Utah,yes
1531,Cedars-Sinai Medical Center,Michigan,yes
1532,Mayo Clinic - Phoenix,Delaware,yes
1533,University of Michigan Hospitals,South Carolina,no
1534,Ronald Reagan UCLA Medical Center,New Mexico,no
1535,New York-Presbyterian Hospital,Arizona,no
1536,Mayo Clinic,MontanaNebraska,yes
1537,Brigham And Women's Hospital,South Carolina,yes
1538,Ronald Reagan UCLA Medical Center,Michigan,yes
1539,Cleveland Clinic Fairview Hospital,Kentucky,yes
1540,Mayo Clinic - Phoenix,Utah,no
1541,Brigham And Women's Hospital,California,no
1542,The Mount Sinai Hospital,Alaska,yes
1543,NYU Langone Hospital,Ohio,no
1544,Cedars-Sinai Medical Center,Connecticut,yes
1545,NYU Langone Hospital,IllinoisIndiana,no
1546,Cedars-Sinai Medical Center,Hawaii,yes
1547,Stanford Health Care-Stanford Hospital,Alabama,no
1548,University of Michigan Hospitals,North Dakota,no
1549,Ronald Reagan UCLA Medical Center,PennsylvaniaRhode Island,no
1550,The Johns Hopkins Hospital,Tennessee,no
1551,Hospitals of the University of Pennsylvania,Minnesota,yes
1552,University of Wisconsin Hospital,Minnesota,yes
1553,University of Wisconsin Hospital,Arkansas,yes
1554,UCLA Medical Center,Virginia,no
1555,Brigham And Women's Hospital,Texas,no
1556,UCLA Medical Center,Kentucky,yes
1557,Duke University Hospital,Louisiana,no
1558,Massachusetts General Hospital,Maine,yes
1559,Hospitals of the University of Pennsylvania,Ohio,no
1560,Mayo Clinic,Nevada,no
1561,Massachusetts General Hospital,Minnesota,yes
1562,University of Wisconsin Hospital,Virginia,yes
1563,Massachusetts General Hospital,Connecticut,yes
1564,The Mount Sinai Hospital,Idaho,no
1565,NYU Langone Hospital,New Mexico,no
1566,University of Michigan Hospitals,Alabama,no
1567,University of Wisconsin Hospital,Ohio,no
1568,Northwestern Memorial Hospital,Virginia,yes
